,host_since,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,cleaning_fee,extra_people,minimum_nights,maximum_nights
121,20120528.0,-33.88781252874549,151.2704877551828,2.0,1.0,1.0,1.0,71.0,80.0,0.0,60.0,1125.0
122,20120531.0,-33.88100928714343,151.27125932129846,3.0,1.0,1.0,2.0,98.0,75.0,50.0,2.0,365.0
123,20110511.0,-33.871237925201704,151.22771805198312,2.0,1.0,1.0,1.0,98.0,150.0,0.0,21.0,42.0
124,20120602.0,-33.89576521744004,151.1832913812689,3.0,1.0,1.0,1.0,150.0,40.0,25.0,1.0,1123.0
125,20120605.0,-33.789346313229764,151.28493754720324,2.0,1.0,1.0,1.0,89.0,10.0,20.0,1.0,7.0
126,20120610.0,-33.831378037326616,151.21394230509682,2.0,1.0,1.0,1.0,159.0,150.0,66.0,3.0,1125.0
127,20120611.0,-33.889545293911574,151.27207058160238,2.0,1.0,2.0,3.0,90.0,100.0,20.0,3.0,365.0
128,20120615.0,-33.802836668442865,151.2897942674434,2.0,1.0,1.0,1.0,111.0,20.0,0.0,2.0,150.0
129,20120522.0,-33.88285642508236,151.2340659520714,2.0,2.0,1.0,1.0,85.0,25.0,0.0,2.0,60.0
130,20120606.0,-33.879318579752905,151.27497993147182,3.0,1.0,1.0,2.0,111.0,100.0,30.0,4.0,60.0
131,20120408.0,-33.89318839089699,151.1898286982389,5.0,2.0,2.0,4.0,187.0,0.0,48.0,2.0,365.0
132,20110115.0,-33.90858284280505,151.250538514796,2.0,1.0,1.0,1.0,28.0,0.0,10.0,2.0,90.0
133,20120625.0,-33.889706174256986,151.20641481318359,4.0,1.0,2.0,2.0,170.0,130.0,25.0,1.0,1125.0
134,20110428.0,-33.889019507514924,151.2783811801757,5.0,1.0,2.0,2.0,175.0,195.0,50.0,2.0,200.0
135,20120625.0,-33.73696323535818,151.27016658343624,4.0,2.0,3.0,4.0,181.0,120.0,15.0,90.0,365.0
136,20120706.0,-33.89392074344711,151.27196789538516,1.0,1.0,1.0,1.0,49.0,30.0,0.0,3.0,100.0
137,20120708.0,-33.884364600802414,151.2768343414491,2.0,1.0,1.0,1.0,61.0,90.0,30.0,2.0,10.0
138,20120709.0,-33.88984070490578,151.26418360419095,2.0,1.0,1.0,1.0,90.0,0.0,0.0,3.0,90.0
139,20120712.0,-33.894140935496104,151.26714703647988,2.0,1.5,1.0,1.0,55.0,25.0,25.0,2.0,180.0
140,20120714.0,-33.89170209588615,151.19499127424012,2.0,1.0,1.0,1.0,109.0,85.0,0.0,2.0,1825.0
141,20120715.0,-33.915641819398445,151.25147689899887,1.0,1.0,1.0,1.0,57.0,50.0,0.0,3.0,180.0
142,20120720.0,-33.97223345187996,151.2524629922821,1.0,1.0,1.0,2.0,100.0,0.0,0.0,3.0,1125.0
143,20120720.0,-33.905345803920056,151.20942124011088,2.0,1.0,1.0,1.0,78.0,30.0,20.0,1.0,90.0
144,20120725.0,-33.890147142711626,151.16815093937078,1.0,1.0,1.0,1.0,44.0,0.0,0.0,14.0,1125.0
145,20111007.0,-33.87240844582002,151.223274229863,4.0,1.0,0.0,2.0,160.0,90.0,0.0,2.0,1125.0
146,20120804.0,-33.80201717452905,151.2887422254201,2.0,1.0,1.0,1.0,195.0,126.0,0.0,2.0,90.0
147,20110814.0,-33.900705723056284,151.1648363078163,2.0,1.0,1.0,1.0,90.0,20.0,0.0,8.0,28.0
148,20111013.0,-33.88194018520478,151.21823280089512,2.0,1.0,2.0,2.0,120.0,143.0,0.0,3.0,999.0
149,20110120.0,-33.65007865837633,151.32099221222194,2.0,1.0,1.0,1.0,150.0,0.0,0.0,1.0,60.0
150,20120816.0,-33.94652696661921,151.24242674522543,2.0,1.0,1.0,1.0,75.0,0.0,75.0,2.0,1125.0
151,20120816.0,-33.89612370026913,151.2532582896636,2.0,1.0,1.0,1.0,78.0,0.0,0.0,1.0,15.0
152,20120816.0,-33.891141942944934,151.28385254488998,2.0,1.0,1.0,1.0,189.0,50.0,0.0,7.0,14.0
153,20120817.0,-33.88239546118754,151.2710319178216,6.0,1.0,3.0,4.0,181.0,50.0,15.0,7.0,365.0
154,20120227.0,-33.867964869780806,151.2267607799393,2.0,1.0,1.0,1.0,139.0,35.0,0.0,3.0,180.0
155,20110920.0,-33.880780978384465,151.21652948234146,2.0,1.0,1.0,1.0,59.0,80.0,25.0,2.0,60.0
156,20120822.0,-33.895328744005546,151.2511269845653,1.0,1.0,1.0,1.0,62.0,0.0,0.0,1.0,21.0
157,20120605.0,-33.85582989336,151.1923489606554,2.0,1.0,1.0,1.0,135.0,30.0,0.0,3.0,60.0
158,20110910.0,-33.745956720242155,151.28142467096856,6.0,1.0,1.0,6.0,120.0,75.0,60.0,2.0,1125.0
159,20120824.0,-33.892608237225964,151.25284763048262,2.0,1.0,1.0,1.0,50.0,30.0,10.0,7.0,100.0
160,20110510.0,-33.87123186379774,151.230436790328,2.0,1.0,0.0,1.0,69.0,85.0,20.0,5.0,300.0
161,20120901.0,-33.87952280892464,151.21073420988657,2.0,2.0,1.0,1.0,94.0,70.0,50.0,2.0,365.0
162,20120901.0,-33.8759123220206,151.22205347778885,2.0,1.0,1.0,1.0,133.0,0.0,0.0,3.0,1125.0
163,20120913.0,-33.860925931200626,151.27985904034776,2.0,1.0,1.0,1.0,43.0,0.0,0.0,28.0,365.0
164,20120915.0,-33.884577567015945,151.27719671795185,4.0,1.0,2.0,4.0,111.0,60.0,0.0,4.0,60.0
165,20120916.0,-33.89469948155019,151.21428414014687,6.0,2.0,3.0,3.0,170.0,80.0,0.0,7.0,90.0
166,20120916.0,-33.894114150000874,151.269737676926,4.0,1.0,1.0,4.0,127.0,139.0,50.0,3.0,59.0
167,20120814.0,-33.908741394180645,151.11142800504197,4.0,1.0,2.0,2.0,92.0,179.0,19.0,3.0,200.0
168,20120918.0,-33.87753472201438,151.22584725446654,6.0,2.0,2.0,3.0,189.0,145.0,20.0,7.0,365.0
169,20120920.0,-33.88989946149651,151.27207985360172,2.0,1.0,0.0,1.0,160.0,70.0,0.0,1.0,42.0
170,20120921.0,-33.753761573537,151.26013174410969,2.0,1.0,1.0,1.0,65.0,35.0,35.0,2.0,28.0
171,20110715.0,-33.74941105371855,151.14481483473568,5.0,1.0,2.0,4.0,115.0,150.0,15.0,7.0,365.0
172,20120923.0,-33.927121487983236,151.22327363726615,8.0,2.0,4.0,7.0,120.0,0.0,0.0,15.0,24.0
173,20120922.0,-33.871713208427,151.23062880132213,2.0,1.0,1.0,1.0,53.0,0.0,0.0,7.0,60.0
174,20120926.0,-33.8868741964291,151.20887025652803,3.0,1.0,1.0,2.0,93.0,100.0,0.0,365.0,455.0
175,20120930.0,-33.90167663001148,151.25926773613406,3.0,1.0,2.0,2.0,129.0,0.0,0.0,5.0,100.0
176,20120910.0,-33.891578125733645,151.26730682860466,4.0,2.0,2.0,2.0,195.0,60.0,0.0,2.0,14.0
177,20121003.0,-33.89489457700948,151.21249556537148,2.0,2.0,1.0,1.0,100.0,25.0,15.0,4.0,1125.0
178,20121003.0,-33.84738263104242,151.1848080734086,4.0,1.0,2.0,3.0,198.0,150.0,0.0,3.0,1124.0
179,20120317.0,-33.89209678878143,151.20007132401423,2.0,1.0,1.0,1.0,135.0,85.0,50.0,1.0,10000.0
180,20121008.0,-33.90421944260894,151.25827414737174,2.0,0.0,1.0,1.0,120.0,0.0,0.0,7.0,14.0
181,20120921.0,-33.755065887953165,151.26041189986037,3.0,1.0,1.0,2.0,65.0,35.0,35.0,2.0,28.0
182,20120921.0,-33.75569626201998,151.26063581698392,2.0,1.0,1.0,1.0,55.0,35.0,35.0,5.0,30.0
183,20121009.0,-33.873356982478036,151.2398985515359,2.0,1.0,1.0,1.0,125.0,35.0,0.0,3.0,1125.0
184,20121010.0,-33.858829512377326,151.16857278911118,2.0,1.0,1.0,0.0,98.0,20.0,0.0,2.0,14.0
185,20121012.0,-33.76224538782249,150.9791261427167,4.0,1.5,2.0,3.0,89.0,25.0,75.0,1.0,180.0
186,20121013.0,-33.912382782747734,151.2604205125642,4.0,1.0,2.0,4.0,185.0,95.0,0.0,5.0,365.0
187,20110913.0,-33.88206347413131,151.21049918624522,4.0,1.0,2.0,2.0,164.0,90.0,20.0,3.0,1125.0
188,20120811.0,-33.89376735622776,151.26730834222315,4.0,2.0,2.0,2.0,195.0,100.0,0.0,7.0,65.0
189,20111227.0,-33.694986770296545,151.09999783693374,3.0,1.0,3.0,3.0,65.0,0.0,25.0,2.0,365.0
190,20120603.0,-33.9443178527494,151.2548529924467,6.0,1.5,3.0,3.0,189.0,150.0,0.0,6.0,1125.0
191,20121018.0,-33.879344782094996,151.21351901867268,4.0,1.5,2.0,2.0,100.0,10.0,25.0,2.0,7.0
192,20121018.0,-33.88872603041761,151.27853050956915,4.0,1.0,2.0,2.0,175.0,50.0,0.0,10.0,20.0
193,20121012.0,-33.90464925448187,151.2106451816769,1.0,1.0,1.0,1.0,111.0,75.0,30.0,4.0,21.0
194,20121021.0,-33.87211910233705,151.164604976079,2.0,1.0,1.0,1.0,70.0,10.0,10.0,6.0,1125.0
195,20121022.0,-33.89047912760189,151.27178488794559,4.0,1.0,2.0,2.0,150.0,88.0,50.0,2.0,21.0
196,20120920.0,-33.88999278087055,151.2720851221218,2.0,1.0,0.0,0.0,160.0,70.0,0.0,1.0,42.0
197,20121025.0,-33.798107586127486,151.28901963708108,2.0,1.0,1.0,1.0,152.0,0.0,0.0,3.0,1125.0
198,20121029.0,-33.89415967201171,151.16956500844316,2.0,1.0,1.0,1.0,74.0,0.0,0.0,3.0,1125.0
199,20110323.0,-33.892498749664966,151.23032942632392,2.0,1.0,1.0,1.0,100.0,120.0,0.0,28.0,365.0
200,20121009.0,-33.87301666522436,151.22260301856534,3.0,1.0,1.0,2.0,135.0,80.0,20.0,2.0,1125.0
201,20100908.0,-33.899516177742356,151.2714395419543,2.0,0.0,1.0,1.0,146.0,100.0,0.0,3.0,365.0
202,20121104.0,-33.89129007651282,151.1595961277606,2.0,1.5,1.0,1.0,50.0,0.0,0.0,1.0,1125.0
203,20121105.0,-33.81636012459127,151.24369979712583,1.0,1.0,1.0,1.0,80.0,0.0,0.0,1.0,1125.0
204,20120610.0,-33.80708900465496,151.15940540268426,2.0,1.0,1.0,1.0,100.0,50.0,50.0,2.0,21.0
205,20120616.0,-33.8264517080876,151.24786520898198,4.0,1.0,1.0,4.0,189.0,80.0,0.0,3.0,1125.0
206,20121109.0,-33.8331230168194,151.212713862623,4.0,1.0,1.0,2.0,146.0,0.0,25.0,3.0,300.0
207,20121109.0,-33.68247712853479,151.10280466350295,2.0,2.0,5.0,6.0,55.0,18.0,30.0,1.0,1125.0
208,20121015.0,-33.8890697993984,151.26096848222235,2.0,1.0,1.0,1.0,150.0,40.0,0.0,3.0,1125.0
209,20111007.0,-33.87177903455071,151.22283882197544,4.0,1.0,1.0,0.0,150.0,90.0,0.0,2.0,1125.0
210,20121114.0,-33.80240395315393,151.2636035332683,2.0,1.0,1.0,1.0,146.0,0.0,20.0,2.0,30.0
211,20121109.0,-33.68282595466487,151.10441405059078,4.0,2.0,1.0,1.0,61.0,18.0,30.0,1.0,1125.0
212,20120303.0,-33.90641413548722,151.2539701211819,2.0,2.0,1.0,1.0,59.0,20.0,35.0,1.0,90.0
213,20120303.0,-33.907008965407684,151.25599234315462,1.0,1.0,1.0,1.0,55.0,20.0,25.0,2.0,60.0
214,20121109.0,-33.683196999316195,151.10261000469401,4.0,2.0,5.0,6.0,65.0,18.0,30.0,1.0,1125.0
215,20121116.0,-33.86246309386053,151.27567591974,2.0,1.0,1.0,1.0,90.0,40.0,30.0,2.0,90.0
216,20121117.0,-33.90067610064269,151.17010576617926,2.0,1.0,1.0,1.0,61.0,0.0,40.0,2.0,30.0
217,20121118.0,-33.914260842069986,151.25850182953437,2.0,1.0,1.0,1.0,80.0,80.0,20.0,3.0,90.0
218,20121118.0,-33.892184691244665,151.17970028116974,2.0,1.0,1.0,1.0,150.0,100.0,100.0,10.0,1125.0
219,20121118.0,-33.94424196747927,151.23948344723266,1.0,1.0,1.0,1.0,47.0,25.0,0.0,2.0,37.0
220,20121031.0,-33.90168608875109,151.20318468181964,2.0,1.0,1.0,1.0,85.0,60.0,0.0,2.0,45.0
221,20121026.0,-33.89215189800477,151.2838098454931,4.0,1.0,2.0,2.0,190.0,120.0,0.0,5.0,1125.0
222,20121122.0,-33.90627056826739,151.2672901836217,1.0,1.0,1.0,1.0,61.0,0.0,0.0,1.0,1125.0
223,20121124.0,-33.94871131157637,151.24272731734138,2.0,0.0,1.0,1.0,85.0,50.0,0.0,5.0,180.0
